PmtId,InstrId,EndToEndId,TxId,IntrBkSttlmAmt,Ccy,IntrBkSttlmDt,DebtorName,DebtorAccount,DebtorFinInstnId,ClrSysMmbId,PayeeName,PayeeAccount,PayeeFinInstnId,Purpose
PMT348707,IID779771,E2E553997,TX795334,8988.79,ETB,2011-11-26T14:28:53Z,Linkbridge,5010127948783525,GI51 YFBJ NLEX R19R VR48 F7J,360,Josi Colmore,3551610115705314,COBASGSXXXX,CXMRCH
PMT415786,IID618593,E2E495086,TX093569,9989.05,COP,2009-06-24T05:03:32Z,Midel,3562299434280436,KW06 VJQO JQCQ ZGYT VSVR VS9F M2GZ NV,501,Natty Bushby,3555297709890789,COBAAEADXXX ,CXPSNL
PMT165467,IID098971,E2E769788,TX570893,9998.43,CAD,2016-12-04T05:06:48Z,Omba,3550777991293383,DO14 JMNS 1582 9390 4957 9719 9112,500,Zackariah Wyrall,30343121048803,COBASGSXXXX,CXPSNL
PMT984418,IID784648,E2E045318,TX790128,5999.00,BTN,2013-03-01T23:27:58Z,Thoughtsphere,5602236424482017,TN49 9432 4470 6661 1762 7204,883,Keeley O' Concannon,3556438972283638,COBAAEADXXX ,CXSALA
PMT406670,IID941306,E2E039013,TX846569,8989.14,EUR,2013-02-18T02:33:54Z,BlogXS,3554290415879270,FR62 2272 1326 09TQ IKIM GRMF R43,710,Billy Belmont,5610835017523341,COBACNSXXXX,CXPSNL
PMT775499,IID752292,E2E516327,TX461367,9899.12,PHP,2017-09-06T14:07:52Z,Feedfire,3573586921356720,AD06 6680 7426 7INW NEOP WUTM,628,Lyndy Zimmermeister,3588010188777950,COBASGSXXXX,CXPSNL
PMT776513,IID056197,E2E037706,TX163083,9867.37,USD,2017-04-25T14:08:47Z,Shufflester,3581983782666687,GL74 3704 8553 9395 63,816,Wakefield Grog,4041376727016351,COBAAEADXXX ,CXBSNS
PMT601512,IID725410,E2E843066,TX835679,6599.28,IDR,2009-11-09T13:42:04Z,Demivee,3587204775781332,KW83 UOBE VRTQ BU7X 16UK FEAV PQ7R UM,950,Meryl Henric,3539449297640453,COBASGSXXXX,CXPSNL
PMT324921,IID638591,E2E563492,TX354733,9946.44,CUP,2015-10-15T14:50:32Z,Topicblab,3533273980017795,EE26 1555 6609 4236 4438,741,Bald Colnet,5641822443170387,COBAAEADXXX ,CXBSNS
PMT664974,IID216802,E2E507081,TX983746,9979.72,AZN,2016-12-09T22:33:50Z,Mydo,3569042413780155,GR49 3412 851A HGUO WZIZ QLF7 A6T,381,Dulsea Stitt,4508693681305794,COBACNSXXXX,CXPSNL
PMT737258,IID790524,E2E380601,TX828659,9699.04,RUB,2017-04-23T07:56:12Z,Meedoo,3550166381250635,IT37 C518 5885 540B FQI4 XMEG 9WP,023,Haskel Camelia,201986377650723,COBAAEADXXX ,CXPSNL
PMT789033,IID161558,E2E073480,TX374484,8789.51,BRL,2012-09-11T09:10:09Z,Gabvine,560225687624356438,AT85 9992 5975 4759 3304,196,Arabelle Jacomb,3576436992285191,COBAAEADXXX ,CXPSNL
PMT540775,IID769490,E2E307377,TX079858,9857.36,EUR,2018-07-21T00:32:13Z,Devpulse,5602211287926681699,IT16 N830 9562 923R FAAK AOOV WD8,125,Kristian Critchlow,5038776345585558,COBAAEADXXX ,CXPSNL
PMT501304,IID972350,E2E887178,TX495785,7869.46,CNY,2017-12-01T02:45:33Z,Kwinu,3542006604826798,GI13 GGMI LQJI 7YHM 8T1O QQD,488,Cyrillus Joost,56104261097981554,COBAAEADXXX ,CXPSNL
PMT605624,IID296339,E2E266366,TX030924,8848.05,CNY,2014-03-17T13:40:18Z,Topiczoom,67094825432159016,IT64 V878 1511 546F OUQC LKFE AKE,647,Tiffanie Bales,5477397239203451,COBACNSXXXX,CXPSNL
PMT229639,IID008382,E2E937521,TX736717,9799.57,PHP,2011-05-08T21:06:19Z,Rhynyx,6331106594356737,FR49 3826 8117 547E NDQ4 NMWG 255,494,Ripley Widdison,3585705122046247,COBACNSXXXX,CXPSNL
PMT167826,IID694199,E2E808832,TX231240,6997.94,THB,2017-02-22T20:45:47Z,Voomm,5602253965143486,EE60 3338 0823 8116 8631,757,Rufus Corbould,676135986358600844,COBAAEADXXX ,CXBSNS
PMT123657,IID911632,E2E120059,TX794257,9998.24,XOF,2014-04-17T18:46:30Z,Mita,5002352749142958,ES02 0604 2125 5045 8540 1864,398,Velma Shapero,3578110098461745,COBASGSXXXX,CXPSNL
PMT835759,IID963407,E2E088846,TX003469,9988.43,EUR,2017-03-11T11:40:38Z,Brightbean,3589056617876755,FR63 7421 4256 24J2 S6CJ MSUX A49,639,Slade Odams,374288059064286,COBAHKHXXXX,CXBSNS
PMT123904,IID950352,E2E713091,TX816858,9999.28,CZK,2015-10-23T05:06:12Z,Vipe,201695627848652,MT56 JNNS 7529 83QR QSWH 0WTD 12EH BE4,556,Allina MacKellen,3539401408446437,COBACNSXXXX,CXPSNL
PMT354458,IID864320,E2E330508,TX806081,7988.35,GBP,2017-01-26T19:40:38Z,Voonte,3549590744969421,CY16 0053 6521 Z8YS RQWR T6J3 LVAQ,314,Forrester Wolver,3554581215024632,COBAHKHXXXX,CXBSNS
PMT903698,IID701401,E2E761726,TX125301,9896.60,PAB,2017-02-01T23:37:52Z,Realpoint,3546001336971000,LV44 GSHF AYSI L1R3 VH7M V,980,Gonzalo Brede,3544292224765115,COBAAEADXXX ,CXPSNL
PMT209380,IID530869,E2E055984,TX931038,9899.74,CNY,2009-11-17T06:02:00Z,Thoughtmix,4041599528628112,SK55 6375 0558 4330 2551 8754,266,Kevin Pagett,3579509234753213,COBACNSXXXX,CXMRCH
PMT583409,IID239927,E2E347566,TX669549,9959.28,NIO,2012-03-27T15:09:46Z,Kimia,30104731946129,SM76 B038 1321 892O LGK1 EOUY 4MD,455,Fergus Bortolozzi,06041677970736461,COBAHKHXXXX,CXPSNL
PMT086127,IID380408,E2E529788,TX242083,9899.14,CNY,2011-10-04T06:44:34Z,Jatri,3560218382545345,LB16 6958 D2NZ PTAW GCA4 WT38 V6ZV,056,Costanza Lissett,3576613983752781,COBAHKHXXXX,CXSALA
PMT278404,IID615417,E2E621991,TX371084,7688.55,EGP,2014-10-19T07:15:45Z,Devcast,630414812621507351,GR51 3195 7329 QTKN YGSB 5DPK UGM,126,Drusilla Clerc,67064892412677868,COBAAEADXXX ,CXPSNL
PMT363312,IID895777,E2E728295,TX386911,4856.27,PHP,2018-12-04T00:32:26Z,Jaxnation,342995978576286,MR09 9747 5213 9819 9760 0443 868,075,Donal Bartosch,3581101345878257,COBAHKHXXXX,CXBSNS
PMT139920,IID734363,E2E831062,TX004724,8896.84,PLN,2017-06-27T03:52:22Z,Demimbu,201551458754529,SK54 0474 3845 4392 0938 7349,720,Nanete Janson,201534646708557,COBAAEADXXX ,CXPSNL
PMT415068,IID893065,E2E108474,TX409761,7999.53,RUB,2012-10-05T01:54:59Z,Voomm,5007662691800071,AL62 2193 5435 KP7Y M0E1 BSS0 FHDS,938,Murdoch Sides,5602251225738509,COBACNSXXXX,CXSALA
PMT051111,IID613274,E2E754290,TX411196,9759.42,EUR,2013-04-21T11:09:35Z,Dabtype,30160271616589,BH13 PTEJ KPU6 WVZI GZKC FP,653,Cassy Melia,3541006391856041,COBAAEADXXX ,CXSALA
PMT373354,IID801959,E2E247101,TX103207,5899.16,PHP,2014-04-24T19:07:25Z,Tagpad,3530693026918073,FI14 0737 9532 5342 74,213,Duff Newbatt,3558667995987837,COBACNSXXXX,CXPSNL
PMT892572,IID763158,E2E903892,TX724683,7188.05,IDR,2012-05-03T01:27:10Z,Feedspan,6383099230168169,HU11 1058 9975 7132 5569 2728 0121,044,Simmonds Ducker,30581519282605,COBAAEADXXX ,CXPSNL
PMT449042,IID344594,E2E763856,TX403443,8969.80,CNY,2011-01-29T01:58:24Z,Tagfeed,3555948821680116,IT25 L442 1632 875B X8AX 50R9 YWJ,762,Padriac Fagence,4017952560407,COBASGSXXXX,CXSALA
PMT329090,IID620723,E2E115154,TX935046,9997.86,CNY,2013-04-06T09:55:31Z,JumpXS,3531476047181049,GE37 XQ96 2068 9933 8279 86,763,Micaela Jandourek,372301255875389,COBAAEADXXX ,CXPSNL
PMT401881,IID358853,E2E704508,TX172064,9899.28,GTQ,2018-09-16T01:21:39Z,Jaxbean,4913711171148992,LV65 OTNK XFAJ SCOR ODVA J,059,Clarance Spadaro,3560712604138228,COBAAEADXXX ,CXBSNS
PMT901741,IID473080,E2E379377,TX017584,9958.62,PHP,2011-01-10T15:21:33Z,Skalith,3583810072467070,BA92 7600 0472 4888 9116,753,Millicent Jeune,3582107965627634,COBACNSXXXX,CXBSNS
PMT983021,IID680507,E2E573511,TX011129,5987.52,SEK,2010-11-17T19:26:02Z,Kimia,3550964556919426,FR18 4424 5513 22PN R9YN PN2R R41,556,Rorie Mulcahy,561047829454144682,COBAAEADXXX ,CXPSNL
PMT841813,IID390560,E2E995490,TX126594,9997.41,PEN,2014-02-16T04:26:54Z,Vinder,5641825739427221579,NL37 AMAJ 5173 7926 98,523,Lisle Whelan,372301653359978,COBAAEADXXX ,CXPSNL
PMT543283,IID935794,E2E355889,TX469509,9989.34,EUR,2015-01-14T07:52:19Z,Demivee,3573844753713116,FR59 9217 2308 27SZ 9RKA TXJO T93,859,Redford Jeffries,3547164773566151,COBAAEADXXX ,CXMRCH
PMT075392,IID209789,E2E941637,TX434225,8669.64,RSD,2013-11-28T20:24:31Z,Twiyo,4041371464139003,RO36 GFBI MOEQ IB10 NT3S 2GS8,857,Rosa Mellem,3542628355049377,COBACNSXXXX,CXBSNS
PMT425752,IID287566,E2E480341,TX408798,9656.75,PEN,2017-07-10T15:36:24Z,Eimbee,201621556096220,LT97 7098 0221 2165 9970,239,Miner Cossom,3542116580994567,COBAAEADXXX ,CXSALA
PMT035420,IID168298,E2E291982,TX986955,9685.58,RUB,2012-09-13T09:02:05Z,Oozz,6380415385207680,IE31 HJPN 6853 7674 0741 97,682,Bran Blacker,4911790997968249,COBASGSXXXX,CXBSNS
PMT103482,IID562310,E2E614173,TX556379,8999.61,BRL,2014-03-16T06:45:58Z,Meemm,5602220700209716,MR15 8741 3592 9230 0600 3810 590,680,Darb Sansome,5048375518750772,COBACNSXXXX,CXBSNS
PMT051668,IID514071,E2E360831,TX238576,9496.56,ZMW,2018-02-13T11:59:47Z,Twitterworks,4905324599333180046,AZ21 YMOA F9OP GIH8 QVCG EJKG YJRV,962,Nedi Matoshin,5602254905091647637,COBACNSXXXX,CXPSNL
PMT399464,IID465754,E2E541112,TX283873,9764.94,CNY,2011-02-11T19:37:23Z,Wordware,4175000981299655,BE60 8369 5554 4464,309,Korry Mence,3570272223674978,COBAAEADXXX ,CXPSNL
PMT239311,IID664873,E2E873912,TX500726,8999.88,PLN,2010-10-26T16:00:38Z,Skibox,3558991074013731,GE71 OK57 5006 1602 0168 61,904,Esme Bumpass,3546169712602489,COBACNSXXXX,CXPSNL
PMT137226,IID464972,E2E263962,TX909180,9777.67,IDR,2016-07-06T16:49:07Z,Fivespan,5010127888290127,SE09 7205 6734 2741 8457 2718,467,Isadora Myring,3553614057870167,COBAAEADXXX ,CXPSNL
PMT176219,IID257125,E2E953644,TX913536,8978.45,XAF,2012-06-16T18:57:16Z,Brainbox,3549118095239028,MD68 D6AI VIOM I8R9 0QVO X1GG,861,Carolyn Willgrass,3577524168544753,COBAAEADXXX ,CXPSNL
PMT703469,IID729354,E2E132565,TX287135,9819.36,ARS,2010-04-15T03:30:39Z,Meevee,30121898985781,AT57 5797 6588 6886 3142,284,Wilbert Soigne,3565771365992608,COBAHKHXXXX,CXBSNS
PMT579188,IID864464,E2E507870,TX043960,9989.30,CNY,2014-08-18T00:52:00Z,Jaloo,30167854970895,FR85 1732 1508 88VB 09R7 KGCK O10,541,Stafani Pleavin,5472305968401225,COBAAEADXXX ,CXMRCH
PMT760758,IID627841,E2E445276,TX753947,8877.46,RSD,2017-07-04T18:20:15Z,Oyoloo,3578436468216025,IL92 1887 3060 8053 6263 256,890,Ulrich Oslar,3548785764027180,COBACNSXXXX,CXBSNS
PMT713344,IID183145,E2E841530,TX821312,9799.73,HNL,2018-10-10T22:20:25Z,Riffpath,3541884445858001,MU58 ECER 2750 8976 0493 5388 698T BZ,476,Jerrome Tubritt,5602238743180496,COBAAEADXXX ,CXPSNL
PMT770726,IID468521,E2E013436,TX030946,9998.58,MKD,2017-08-21T21:24:35Z,Brightdog,3571933073454352,FO57 8107 2150 2107 28,499,Riobard Boone,5602216895182718,COBAAEADXXX ,CXBSNS
PMT829655,IID526088,E2E477044,TX271755,9587.59,CNY,2009-03-08T12:37:19Z,Youspan,30236707261719,MD14 MIQA 9FMD Y0YO LBCK 0PNA,998,Anni Betonia,5100132483339890,COBASGSXXXX,CXPSNL
PMT868703,IID566289,E2E925755,TX753212,7779.22,EUR,2009-04-14T11:04:28Z,Lazzy,3585963093675219,PK62 WLKM KPAB NLSQ 3ISK A7A8,414,Trip Southcomb,4694155056761,COBACNSXXXX,CXSALA
PMT433635,IID224229,E2E932717,TX237214,6999.94,CNY,2013-12-17T09:58:27Z,Eabox,3544224207441166,AZ47 BKZL 6WYT YJBP F0AY VZVF 82QL,811,Godfry Sheeran,3553885187617716,COBAAEADXXX ,CXMRCH
PMT824878,IID883507,E2E247472,TX660751,7689.79,KRW,2009-07-23T20:41:10Z,Viva,30219681765053,BR93 4065 3136 8606 4569 3380 368E T,160,Rebeca Lett,337941165879437,COBACNSXXXX,CXPSNL
PMT215215,IID413039,E2E049726,TX208486,9899.26,IDR,2018-09-06T02:08:20Z,Yacero,5610656635593106,FR87 3490 4927 94WI 1HMI SVMO O31,991,Glennie Alway,6763691867329443,COBASGSXXXX,CXPSNL
PMT765513,IID268312,E2E021929,TX287331,8988.05,CNY,2010-10-22T10:40:34Z,Trunyx,5893830342001236,CY44 4238 1372 3XXI IS2P ZPGW PTPI,142,Emelina Chrismas,5602247321180943,COBACNSXXXX,CXMRCH
PMT734798,IID226591,E2E193531,TX735909,9998.90,EUR,2017-11-24T01:41:09Z,Zoomcast,3588575175781348,FI58 1130 9044 8308 17,211,Carmelina Bonnyson,560223557808566122,COBACNSXXXX,CXPSNL
PMT439875,IID953483,E2E690205,TX513381,9698.63,CUP,2011-02-04T06:10:38Z,Flipbug,4903918568863784,GR49 6068 334I T6DL K9ME RZYN STO,686,Kacy Janse,30193841254821,COBASGSXXXX,CXBSNS
PMT914260,IID022846,E2E561467,TX494671,9997.25,CNY,2014-03-26T01:12:03Z,Livetube,4405974066952226,BA17 9391 3902 8463 5119,458,Augustina Wethered,4913616634188024,COBACNSXXXX,CXBSNS
PMT716824,IID186502,E2E609945,TX815990,8979.87,UAH,2010-07-15T11:42:25Z,Photobug,4017953550506649,AE14 6967 7153 8430 3324 027,646,Hastie Comar,3533767640942300,COBACNSXXXX,CXSALA
PMT029391,IID951394,E2E189432,TX591659,9189.25,EUR,2017-05-28T03:45:12Z,Rhyzio,4936727201364873,PK48 CUFS XU6H MX7P 44RU KBOD,661,Effie Garrod,5119282437330138,COBACNSXXXX,CXBSNS
PMT944976,IID286957,E2E574235,TX929537,9678.02,CNY,2016-09-12T07:09:36Z,Tagpad,5370886537672944,BH24 JQKD EGBB SUCB V63Y IY,205,Francesca Curwood,56022476012227912,COBACNSXXXX,CXBSNS
PMT207385,IID426072,E2E551411,TX579462,7957.17,EUR,2014-02-14T02:35:08Z,Voonder,5602232480120449436,IE47 XYMZ 1561 1347 0948 57,189,Ulrica Daldan,3574681603402212,COBAAEADXXX ,CXPSNL
PMT443123,IID870757,E2E168048,TX834471,7999.27,KPW,2012-05-04T00:24:34Z,Mynte,3580525674521776,HU14 0568 3283 8139 5001 0335 1463,311,Hadrian Brugsma,3581456822784893,COBACNSXXXX,CXSALA
PMT330765,IID732743,E2E133005,TX805227,4967.46,RUB,2009-08-13T06:54:06Z,Yodoo,3581519548078484,TN28 7800 6813 2188 5205 9147,697,Bran Lambrick,67619091984417015,COBAAEADXXX ,CXPSNL
PMT765875,IID619442,E2E177508,TX434024,9789.25,BRL,2011-02-28T00:49:16Z,Myworks,3587146256780848,KW41 RWDU Q7K0 GQGE M5IA R55H SDUU GA,211,Gretna Paddison,676767288721210236,COBAAEADXXX ,CXMRCH
PMT211346,IID305075,E2E486486,TX602208,9959.73,IDR,2011-06-23T05:10:42Z,Tagtune,5100138760753497,MR96 1202 4390 4838 5550 0311 128,748,Madel Finnan,3566926355227477,COBACNSXXXX,CXPSNL
PMT717140,IID096573,E2E699083,TX920487,9984.46,CNY,2018-04-22T07:35:36Z,Roombo,3561963547786032,TR69 5318 70DG OWG8 4DJO SNFR EO,542,Alejandro Ferroli,374288246344286,COBACNSXXXX,CXPSNL
PMT601574,IID784858,E2E074638,TX779924,8869.60,CNY,2016-06-03T19:41:48Z,Shufflester,5002352117274078,FR80 3095 7431 63DC HMKP ITQW R36,308,Nichole Blumire,3575883825482001,COBAAEADXXX ,CXSALA
PMT706538,IID835791,E2E229232,TX081439,9888.12,BRL,2009-01-25T06:47:02Z,Demizz,501857686832605742,ME12 5246 3439 4197 3997 94,758,Rozina Tingley,6331102768084452,COBAAEADXXX ,CXSALA
PMT094740,IID901982,E2E062703,TX628535,8997.87,PKR,2016-08-21T14:54:18Z,Feedfish,4017958261857801,VG49 XMLB 8872 5668 6667 6809,188,Alric Geare,201988380660509,COBAAEADXXX ,CXBSNS
PMT376272,IID509337,E2E145058,TX359561,9988.11,CHF,2018-03-15T04:08:58Z,Blogpad,3566438876453277,KW76 LLIK KYMU DU45 DXXD DHUK KOGD 9I,626,Ewan Blaylock,3534985665790193,COBACNSXXXX,CXPSNL
PMT669969,IID857061,E2E432395,TX640262,9599.27,YER,2011-01-30T09:59:00Z,Twinte,372301548509431,TN88 5151 5422 0682 1139 5936,320,Bartholomeus Foskett,4917159330620020,COBAAEADXXX ,CXSALA
PMT833477,IID680796,E2E943578,TX517351,9779.27,PHP,2013-08-11T01:48:52Z,Vinte,3583169384350189,PT21 0375 2790 1633 8999 5374 4,738,Marjy Le Count,4041371514290,COBAAEADXXX ,CXSALA
PMT234013,IID873493,E2E918792,TX281186,8988.21,BRL,2009-06-16T09:25:13Z,Jabbersphere,491134229506082705,AE79 3613 2525 4697 5509 175,852,Arden Normadell,4917893094265495,COBASGSXXXX,CXSALA
PMT381516,IID341377,E2E206439,TX559954,9998.67,RUB,2012-12-29T23:38:49Z,Youspan,3552291974996093,AD96 8150 0994 LVVX HVCW IZXY,740,Norina McNiff,374288680029393,COBACNSXXXX,CXPSNL
PMT050271,IID908206,E2E085907,TX942142,8889.35,IDR,2013-01-03T04:39:08Z,Realmix,374288692981995,MK86 145X C3IU FITH Y10,082,Dorelia Pracy,5002353115571085,COBAAEADXXX ,CXMRCH
PMT509435,IID832606,E2E187471,TX632767,8879.38,RUB,2018-05-27T22:20:11Z,Twitterlist,670993066830758876,FO65 0705 8696 5554 26,971,Zebedee Danelutti,374283561527508,COBASGSXXXX,CXPSNL
PMT670975,IID872711,E2E903690,TX423746,8889.68,NIO,2012-03-01T09:45:05Z,Skalith,374288606365525,BA09 3964 9108 8816 4816,047,Delphine Furley,4903748101493025,COBACNSXXXX,CXPSNL
PMT747380,IID782210,E2E397941,TX387858,9959.89,IDR,2017-01-29T15:41:18Z,Thoughtworks,560222225792540252,PT82 0448 6633 7004 0667 1221 9,347,Hannis Stobo,491132462792480117,COBAAEADXXX ,CXPSNL
PMT863796,IID679435,E2E274153,TX951876,9978.86,PHP,2009-12-11T21:53:48Z,Flashpoint,5502640529205333,PL70 0874 6009 4692 6394 5320 2203,495,Alane Mattiuzzi,3549877638161334,COBACNSXXXX,CXPSNL
PMT462046,IID932496,E2E344780,TX158653,9977.78,ILS,2014-03-25T19:13:29Z,Mydo,3539967016953196,BH27 CKRF NX4A SIRT HLN6 SR,889,Nettle Allwood,201483359544421,COBAAEADXXX ,CXMRCH
